지점명,일시,평균기온(℃),평균최고기온(℃),평균최저기온(℃)
서울,Jan-19,-0.9,4.1,-5.1
서울,Feb-19,1,6,-3.2
서울,Mar-19,7.1,12.4,2.7
서울,Apr-19,12.1,17.6,7.2
서울,May-19,19.4,25.6,13.7
서울,Jun-19,22.5,27.7,18.1
서울,Jul-19,25.9,30.1,22.7
서울,Aug-19,27.2,31.6,23.6
서울,Sep-19,22.6,27.1,19
서울,Oct-19,16.4,21.8,11.8
서울,Nov-19,7.6,12.9,3.1
서울,Dec-19,1.4,5.3,-2.6
서울,Jan-20,1.6,5.9,-1.7
서울,Feb-20,2.5,7.2,-1.3
서울,Mar-20,7.7,13.3,2.6
서울,Apr-20,11.1,16.6,6.3
서울,May-20,18,23.3,13.7
서울,Jun-20,23.9,29,19.9
서울,Jul-20,24.1,28,21.1
서울,Aug-20,26.5,29.3,24.4
서울,Sep-20,21.4,25.6,18
서울,Oct-20,14.3,19.5,9.6
서울,Nov-20,8,12.6,4
서울,Dec-20,-0.3,3.9,-4.2
서울,Jan-21,-2.4,2.2,-6.8
서울,Feb-21,2.7,7.9,-2.2
서울,Mar-21,9,14.8,4.3
서울,Apr-21,14.2,19.5,9.5
서울,May-21,17.1,21.9,12.8
서울,Jun-21,22.8,27.6,18.9
서울,Jul-21,28.1,32.2,24.6
서울,Aug-21,25.9,29.7,22.8
서울,Sep-21,22.6,26.9,18.8
서울,Oct-21,15.6,20.5,11.6
서울,Nov-21,8.2,13.1,4
서울,Dec-21,0.6,5.1,-3.5
서울,Jan-22,-2.2,2.6,-6.2
서울,Feb-22,-1.1,3.8,-5.3
서울,Mar-22,7.7,12.7,3.2
서울,Apr-22,14.8,20.6,10
서울,May-22,19.1,25,13.9
서울,Jun-22,23.3,27.5,19.8
서울,Jul-22,27.3,31,24.2
서울,Aug-22,25.7,28.9,23.1
서울,Sep-22,22.4,27.2,18.2
서울,Oct-22,14.6,19.7,10.3
서울,Nov-22,10,15.4,5.6
서울,Dec-22,-2.8,1.7,-6.6
서울,Jan-23,-1.5,3.2,-5.7
서울,Feb-23,2.3,7.3,-1.9
서울,Mar-23,9.8,16.2,4.2
서울,Apr-23,13.8,19,8.8
서울,May-23,19.5,25,14.6
서울,Jun-23,23.4,27.9,19.7
서울,Jul-23,26.7,30.2,23.9
서울,Aug-23,27.2,30.8,24.3
서울,Sep-23,23.7,27.6,20.2
서울,Oct-23,15.8,21,11.5
서울,Nov-23,6.8,11.5,2.9
서울,Dec-23,1.1,5.2,-2.5
